source,target,frequency,traj_ids
0,1,6,"[2, 996, 998, 1000, 1004, 1006]"
1,2,5,"[2, 996, 1000, 1004, 1006]"
2,623,5,"[2, 996, 1000, 1004, 1006]"
623,3,1,[2]
3,0,6,"[2, 996, 998, 1000, 1004, 1006]"
0,4,2,"[2, 220]"
4,5,1,[2]
5,529,1,[2]
529,6,1,[2]
6,7,1,[2]
7,0,1,[2]
0,8,3,"[2, 456, 736]"
8,0,3,"[2, 456, 736]"
0,9,10,"[4, 105, 116, 117, 118, 129, 469, 679, 813]"
9,10,10,"[4, 105, 116, 117, 118, 129, 469, 679, 813]"
10,11,12,"[4, 105, 116, 117, 118, 129, 469, 648, 679, 813, 830]"
11,12,1,[4]
12,13,12,"[4, 131, 200, 263, 413, 468, 521, 529, 604, 606, 607, 922]"
13,14,12,"[4, 131, 200, 263, 413, 468, 521, 529, 604, 606, 607, 922]"
14,15,16,"[4, 131, 200, 263, 369, 413, 417, 468, 521, 529, 604, 606, 607, 922, 930, 1092]"
15,16,17,"[4, 131, 200, 263, 413, 417, 468, 529, 604, 606, 607, 608, 781, 899, 922, 930, 1092]"
16,17,17,"[4, 131, 200, 263, 413, 417, 468, 529, 604, 606, 607, 608, 781, 899, 922, 930, 1092]"
17,18,13,"[4, 200, 413, 417, 604, 606, 607, 608, 781, 899, 922, 930, 1092]"
18,19,10,"[4, 200, 417, 606, 607, 608, 781, 922, 930, 1092]"
19,20,11,"[4, 200, 417, 604, 606, 607, 608, 781, 922, 930, 1092]"
20,21,13,"[4, 200, 413, 417, 604, 606, 607, 608, 781, 899, 922, 930, 1092]"
21,22,12,"[4, 131, 200, 413, 417, 468, 529, 606, 607, 608, 930, 1092]"
22,23,12,"[4, 131, 200, 413, 417, 468, 529, 606, 607, 608, 930, 1092]"
23,22,11,"[4, 131, 200, 413, 468, 529, 606, 607, 608, 930, 1092]"
22,15,1,[4]
15,24,2,"[4, 831]"
24,25,1,[4]
25,26,19,"[4, 313, 392, 443, 444, 506, 516, 606, 607, 769, 770, 879, 903, 1010, 1013, 1016, 1017, 1019, 1100]"
26,27,18,"[4, 313, 392, 443, 444, 506, 606, 607, 769, 770, 879, 903, 1010, 1013, 1016, 1017, 1019, 1100]"
27,28,14,"[5, 314, 444, 445, 606, 608, 770, 771, 880, 904, 1011, 1014, 1017, 1018]"
28,29,7,"[5, 444, 445, 517, 608, 880, 904]"
29,25,6,"[5, 444, 445, 517, 880, 904]"
25,24,2,"[5, 608]"
24,15,3,"[5, 608, 831]"
15,23,1,[5]
23,15,1,[5]
15,598,1,[5]
598,14,1,[5]
14,12,3,"[5, 413, 930]"
12,30,3,"[5, 200, 855]"
30,301,1,[5]
301,31,1,[5]
31,32,1,[5]
32,33,1,[5]
33,34,2,"[5, 47]"
34,35,2,"[5, 47]"
35,36,4,"[5, 47, 1070, 1098]"
36,37,13,"[5, 47, 581, 587, 593, 597, 603, 605, 832, 838, 856, 1070, 1098]"
37,136,12,"[5, 47, 581, 587, 593, 597, 603, 605, 832, 838, 851, 1098]"
136,0,2,"[5, 581]"
0,38,6,"[6, 229, 247, 249, 322, 877]"
38,0,6,"[6, 229, 247, 249, 322, 877]"
0,39,8,"[7, 9, 480, 619, 931, 967, 1031]"
39,40,6,"[7, 9, 480, 931, 967, 1031]"
40,41,4,"[7, 9, 931, 1031]"
41,42,7,"[7, 9, 21, 203, 218, 931, 1030]"
42,323,5,"[7, 21, 203, 218, 610]"
323,48,5,"[7, 21, 203, 218, 610]"
48,39,4,"[7, 9, 21, 272]"
39,0,3,"[7, 9, 21]"
0,101,3,"[8, 22, 724]"
101,43,3,"[8, 22, 724]"
43,0,3,"[8, 22, 724]"
0,44,4,"[8, 22, 718, 724]"
44,45,4,"[8, 22, 718, 724]"
45,46,4,"[8, 22, 718, 724]"
46,47,2,"[8, 718]"
47,0,4,"[8, 456, 519, 718]"
0,45,1,[8]
45,0,3,"[8, 22, 216]"
0,43,2,"[8, 22]"
43,101,2,"[8, 22]"
101,0,2,"[8, 22]"
0,103,5,"[8, 483, 959, 961, 962]"
103,0,3,"[8, 22, 958]"
42,48,3,"[9, 931, 1030]"
0,49,14,"[13, 217, 282, 473, 478, 487, 614, 705, 718, 721, 735, 956, 957, 992]"
49,337,11,"[13, 217, 282, 473, 478, 487, 614, 705, 721, 957, 992]"
337,50,9,"[13, 473, 478, 487, 614, 705, 721, 957, 992]"
50,51,10,"[13, 282, 478, 487, 614, 705, 721, 956, 957, 992]"
51,52,13,"[13, 217, 282, 478, 487, 614, 705, 718, 721, 735, 956, 957, 992]"
52,53,5,"[13, 473, 487, 614, 705]"
53,342,1,[13]
342,54,4,"[13, 487, 718, 721]"
54,55,5,"[13, 478, 718, 721, 957]"
55,56,11,"[13, 282, 473, 478, 487, 614, 705, 718, 721, 957, 992]"
56,57,5,"[13, 282, 473, 614, 705]"
57,58,3,"[13, 282, 614]"
58,59,7,"[13, 217, 282, 487, 614, 957, 992]"
59,60,7,"[13, 217, 614, 705, 721, 957, 992]"
60,61,10,"[13, 217, 282, 487, 614, 705, 718, 721, 957, 992]"
61,62,11,"[13, 217, 282, 473, 478, 487, 614, 705, 721, 956, 957]"
62,63,10,"[13, 282, 473, 478, 487, 614, 705, 721, 956, 957]"
63,64,10,"[13, 282, 473, 487, 614, 705, 718, 721, 956, 957]"
64,65,9,"[13, 282, 487, 614, 705, 718, 721, 956, 957]"
65,613,4,"[13, 282, 614, 956]"
613,555,2,"[13, 614]"
555,66,2,"[13, 614]"
66,67,2,"[13, 614]"
67,68,1,[13]
68,610,1,[13]
610,69,3,"[13, 614, 956]"
69,70,3,"[13, 614, 956]"
70,71,1,[13]
