hotspot_path,frequency,traj_ids
"[0, 127, 128]",3,"[39, 507, 1065]"
"[0, 626]",2,"[996, 1057]"
"[0, 625]",4,"[996, 999, 1000, 1003]"
"[0, 620]",2,"[935, 980]"
"[0, 163, 164]",2,"[844, 857]"
"[0, 99, 98, 594, 97]",2,"[751, 792]"
"[0, 572]",3,"[717, 718, 1038]"
"[0, 449]",2,"[715, 996]"
"[0, 568, 432]",2,"[706, 727]"
"[0, 563, 559, 560, 561, 562]",3,"[657, 815, 1008]"
"[0, 10, 11, 225, 226, 227]",2,"[648, 830]"
"[0, 558]",2,"[628, 943]"
"[0, 564, 75, 565, 556]",2,"[615, 941]"
"[0, 82, 83]",3,"[613, 747, 933]"
"[0, 541]",3,"[586, 659, 745]"
"[0, 282, 281, 280, 279]",2,"[579, 745]"
"[0, 581]",2,"[574, 735]"
"[0, 438, 281, 280, 279]",2,"[574, 729]"
"[0, 438, 281, 282]",2,"[574, 610]"
"[0, 102]",2,"[546, 554]"
"[0, 526]",2,"[539, 985]"
"[0, 521, 522]",4,"[532, 533, 692, 939]"
"[0, 330, 329, 328]",2,"[530, 579]"
"[0, 509]",8,"[488, 489, 611, 615, 711, 714, 718, 724]"
"[0, 503]",11,"[487, 711, 718, 722, 727, 732, 735, 743, 744, 746, 992]"
"[0, 496]",6,"[477, 615, 707, 730, 964, 1028]"
"[0, 7, 6, 529]",2,"[636, 724]"
"[0, 7, 6, 355]",2,"[456, 577]"
"[0, 476]",8,"[446, 448, 449, 452, 455, 456, 457, 465]"
"[0, 448, 458]",2,"[600, 675]"
"[0, 322, 235, 300, 31]",2,"[396, 1016]"
"[0, 322, 235, 299, 300, 31, 237, 241, 240, 597, 598, 15]",2,"[781, 831]"
"[0, 322, 235, 236]",2,"[468, 1019]"
"[0, 200, 244, 298, 582, 243]",2,"[602, 736]"
"[0, 346]",6,"[370, 419, 649, 809, 1060, 1061]"
"[0, 281]",2,"[358, 359]"
"[0, 436]",2,"[349, 367]"
"[0, 433, 434, 435]",5,"[344, 345, 347, 356, 989]"
"[0, 414]",6,"[318, 438, 736, 912, 917, 929]"
"[0, 160]",2,"[282, 766]"
"[0, 401]",4,"[281, 636, 637, 975]"
"[0, 536]",2,"[276, 578]"
"[0, 619, 372, 374]",2,"[270, 579]"
"[0, 619, 372, 83]",2,"[270, 579]"
"[0, 278, 495]",4,"[474, 551, 960, 1022]"
"[0, 278, 371]",3,"[268, 613, 991]"
"[0, 278, 277, 106, 523]",2,"[534, 627]"
"[0, 278, 277, 106, 332]",2,"[970, 976]"
"[0, 278, 277, 106, 107]",2,"[970, 976]"
"[0, 278, 277, 390, 106, 105]",2,"[273, 621]"
"[0, 278, 277, 390, 106, 107, 108]",2,"[273, 621]"
"[0, 278, 277, 332, 106, 390]",2,"[282, 973]"
"[0, 278, 277, 332, 106, 105, 104]",2,"[557, 711]"
"[0, 278, 277, 332, 106, 107, 108]",2,"[278, 557]"
"[0, 117]",5,"[265, 580, 713, 739, 743]"
"[0, 370]",2,"[265, 1020]"
"[0, 363, 362, 361, 360, 359]",2,"[264, 767]"
"[0, 365, 366]",2,"[264, 648]"
"[0, 454, 449, 570, 450, 451, 452]",2,"[409, 725]"
"[0, 402, 354]",2,"[248, 519]"
"[0, 247, 244, 246]",2,"[514, 663]"
"[0, 357]",5,"[227, 229, 248, 659, 667]"
"[0, 350, 222]",8,"[223, 224, 418, 437, 501, 502, 650, 833]"
"[0, 413, 345]",5,"[219, 316, 408, 812, 827]"
"[0, 344]",5,"[219, 714, 740, 972, 1037]"
"[0, 47, 46, 45]",2,"[216, 718]"
"[0, 537, 325, 326, 327]",2,"[211, 732]"
"[0, 324]",22,"[207, 291, 293, 295, 325, 336, 350, 536, 540, 625, 629, 634, 694, 727, 732, 784, 786, 788, 790, 794, 982, 1025]"
"[0, 314, 315]",2,"[158, 317]"
"[0, 307]",5,"[149, 174, 499, 888, 1002]"
"[0, 304, 305, 409, 410]",2,"[298, 299]"
"[0, 331, 278, 277, 390, 106, 107, 108, 109, 110]",2,"[357, 620]"
"[0, 406, 90, 91, 407, 324]",2,"[289, 565]"
"[0, 283, 439]",4,"[356, 481, 711, 968]"
"[0, 283, 617]",2,"[481, 968]"
"[0, 279, 280, 281, 310, 311]",2,"[335, 353]"
"[0, 279, 280, 281, 282]",3,"[137, 574, 710]"
"[0, 273, 155, 156]",2,"[123, 385]"
"[0, 272, 271]",2,"[120, 731]"
"[0, 312]",2,"[120, 737]"
"[0, 271, 272]",3,"[120, 387, 461]"
"[0, 250, 231, 230, 252, 253, 225, 11, 10]",2,"[117, 852]"
"[0, 250, 231, 230, 229, 228, 227, 226, 225, 11]",2,"[118, 129]"
"[0, 250, 231, 232, 233]",2,"[117, 118]"
"[0, 152, 151, 150, 234, 411, 148]",2,"[405, 813]"
"[0, 248, 249]",2,"[111, 123]"
"[0, 221]",2,"[108, 114]"
"[0, 235, 322]",2,"[200, 826]"
"[0, 235, 299, 300, 31, 296, 301]",2,"[143, 1010]"
"[0, 235, 236, 300, 31, 442, 240]",2,"[369, 899]"
"[0, 235, 236, 31]",2,"[108, 141]"
"[0, 233, 232, 231, 230, 252, 253, 227, 226, 225, 11, 10]",2,"[116, 648]"
"[0, 233, 232, 231, 230, 252, 253, 227, 228, 229]",2,"[116, 648]"
"[0, 233, 250]",2,"[116, 489]"
"[0, 233, 251, 230]",2,"[105, 853]"
"[0, 153, 152, 150]",2,"[302, 311]"
"[0, 153, 152, 151, 150, 149, 148, 147, 146, 145, 143, 142]",2,"[308, 853]"
"[0, 153, 152, 151, 150, 149, 148, 147, 146, 145, 144, 143, 142]",3,"[314, 320, 1081]"
"[0, 153, 152, 151, 150, 234]",2,"[105, 504]"
"[0, 224]",3,"[104, 840, 900]"
"[0, 203, 202, 201, 200, 244]",2,"[777, 836]"
"[0, 203, 202, 244, 352]",2,"[239, 250]"
"[0, 203, 202, 244, 247]",3,"[110, 239, 250]"
"[0, 203, 202, 217, 200, 244, 246]",2,"[399, 909]"
"[0, 220, 274, 542]",4,"[125, 586, 596, 1095]"
"[0, 220, 548]",2,"[94, 602]"
"[0, 219]",5,"[94, 157, 219, 225, 1089]"
"[0, 218, 316, 306, 317, 130]",3,"[149, 174, 998]"
"[0, 12, 456, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",3,"[417, 930, 1092]"
"[0, 12, 216, 515, 205, 215, 25, 26]",2,"[516, 1100]"
"[0, 12, 216, 293, 205, 25, 26, 27]",2,"[769, 903]"
"[0, 12, 204, 205, 25, 26, 27]",2,"[313, 770]"
"[0, 12, 13, 14, 15, 25, 26, 27]",2,"[606, 607]"
"[0, 12, 13, 14, 15, 16, 17, 21, 22, 23]",2,"[131, 529]"
"[0, 12, 13, 14, 15, 16, 17, 18, 455]",2,"[413, 604]"
"[0, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",2,"[606, 607]"
"[0, 181, 196, 193]",2,"[469, 860]"
"[0, 181, 193, 608, 183]",2,"[129, 930]"
"[0, 181, 275, 182, 196]",2,"[79, 300]"
"[0, 181, 275, 182, 183, 184, 185, 186, 187, 188, 189, 190, 161]",2,"[78, 415]"
"[0, 180]",6,"[77, 201, 414, 681, 1058, 1081]"
"[0, 172, 318, 177, 178]",2,"[958, 964]"
"[0, 172, 173, 174, 175, 318, 176, 177, 178, 179]",2,"[186, 658]"
"[0, 172, 173, 174, 175, 176, 177]",2,"[71, 775]"
"[0, 162, 163, 164, 165, 166, 167, 168, 169]",2,"[804, 1054]"
"[0, 162, 163, 164, 171, 167, 168, 169]",3,"[149, 197, 873]"
"[0, 162, 163, 164, 353, 165, 166, 167, 168, 169]",2,"[66, 240]"
"[0, 159, 160]",21,"[60, 66, 127, 149, 174, 257, 260, 281, 390, 525, 589, 598, 636, 720, 761, 765, 828, 910, 919, 1000, 1083]"
"[0, 156, 155]",2,"[57, 372]"
"[0, 155, 573, 157]",2,"[57, 720]"
"[0, 313]",5,"[55, 56, 157, 240, 925]"
"[0, 154]",5,"[51, 166, 394, 446, 1067]"
"[0, 135, 136, 37, 36, 35, 631]",2,"[915, 1070]"
"[0, 135, 136, 37, 36, 35, 34, 33, 604, 137, 32]",2,"[506, 1098]"
"[0, 131, 303, 132, 223, 133, 134]",2,"[178, 824]"
"[0, 131, 303, 133, 134]",2,"[147, 805]"
"[0, 131, 132, 223, 133, 134]",2,"[45, 97]"
"[0, 129]",18,"[42, 120, 165, 201, 394, 414, 447, 449, 452, 455, 456, 457, 463, 466, 656, 681, 827, 1006]"
"[0, 1, 2, 623, 624, 3]",4,"[996, 1000, 1004, 1006]"
"[0, 4]",2,"[2, 220]"
"[0, 8]",3,"[2, 456, 736]"
"[0, 9, 10, 11, 225, 226, 227, 253, 252, 230]",2,"[129, 679]"
"[0, 9, 10, 11, 225, 226, 227, 228, 229, 230, 252, 253]",2,"[116, 117]"
"[0, 9, 10, 11, 225, 226, 227, 228, 229, 230, 231, 232, 233]",4,"[105, 116, 117, 118]"
"[0, 38]",6,"[6, 229, 247, 249, 322, 877]"
"[0, 39, 40, 387]",2,"[480, 967]"
"[0, 39, 40, 41, 387]",2,"[931, 1031]"
"[0, 39, 40, 41, 42, 48]",2,"[9, 931]"
"[0, 101, 43]",3,"[8, 22, 724]"
"[0, 44, 45, 46, 47]",2,"[8, 718]"
"[0, 43, 101]",2,"[8, 22]"
"[0, 103, 286, 287, 288, 289, 290]",2,"[959, 962]"
"[0, 49, 343, 51, 52, 73]",2,"[718, 735]"
"[0, 49, 337, 50, 51, 52, 73, 338, 405]",2,"[478, 992]"
"[0, 49, 337, 50, 51, 52, 53, 73]",2,"[487, 705]"
"[0, 557, 74]",2,"[15, 690]"
"[0, 76, 77, 78]",7,"[17, 25, 360, 633, 641, 1034, 1039]"
