frequency,traj_ids,source,avg_start_hour,time_entropy,peak_period,path_length,spatial_length,center_x,center_y,spatial_entropy,path,poi_types,dominant_poi,poi_entropy
6,"[[35, 13], [35, 23], [35, 24], [35, 38], [35, 42], [35, 9]]","[""NDTTJ"", ""NDTTT"", ""TTHS""]",16.28,1.918,night,3,0.052,116.31223,40.003927,3.17,"[0, 1, 116]","[""体育休闲服务"", ""科教文化服务"", ""风景名胜""]",科教文化服务,1.585
7,"[[1, 13], [179, 21], [179, 27], [5, 18], [5, 27], [5, 71], [96, 12]]","[""NDTTJ"", ""NDTTT""]",9.95,2.807,night,3,0.045,116.327904,39.989319,1.837,"[0, 3, 0]","[""科教文化服务""]",科教文化服务,0.0
7,"[[1, 13], [179, 21], [179, 27], [5, 18], [5, 27], [5, 71], [96, 12]]","[""NDTTJ"", ""NDTTT""]",9.95,2.807,night,4,0.068,116.326345,39.992756,2.0,"[0, 3, 0, 3]","[""科教文化服务""]",科教文化服务,0.0
7,"[[1, 13], [179, 21], [179, 27], [5, 18], [5, 27], [5, 71], [96, 12]]","[""NDTTJ"", ""NDTTT""]",9.95,2.807,night,5,0.091,116.327281,39.990694,1.942,"[0, 3, 0, 3, 0]","[""科教文化服务""]",科教文化服务,0.0
7,"[[1, 13], [179, 21], [179, 27], [5, 18], [5, 27], [5, 71], [96, 12]]","[""NDTTJ"", ""NDTTT""]",9.95,2.807,night,6,0.113,116.326345,39.992756,2.0,"[0, 3, 0, 3, 0, 3]","[""科教文化服务""]",科教文化服务,0.0
7,"[[1, 13], [179, 21], [179, 27], [5, 18], [5, 27], [5, 71], [96, 12]]","[""NDTTJ"", ""NDTTT""]",9.95,2.807,night,7,0.136,116.327013,39.991283,1.97,"[0, 3, 0, 3, 0, 3, 0]","[""科教文化服务""]",科教文化服务,0.0
7,"[[1, 13], [179, 21], [179, 27], [5, 18], [5, 27], [5, 71], [96, 12]]","[""NDTTJ"", ""NDTTT""]",9.95,2.807,night,8,0.159,116.326345,39.992756,2.0,"[0, 3, 0, 3, 0, 3, 0, 3]","[""科教文化服务""]",科教文化服务,0.0
7,"[[1, 13], [179, 21], [179, 27], [5, 18], [5, 27], [5, 71], [96, 12]]","[""NDTTT""]",9.95,2.807,night,9,0.181,116.326865,39.991611,1.982,"[0, 3, 0, 3, 0, 3, 0, 3, 0]","[""科教文化服务""]",科教文化服务,0.0
7,"[[1, 13], [179, 21], [179, 27], [5, 18], [5, 27], [5, 71], [96, 12]]","[""NDTTT""]",9.95,2.807,night,10,0.204,116.326345,39.992756,2.0,"[0, 3, 0, 3, 0, 3, 0, 3, 0, 3]","[""科教文化服务""]",科教文化服务,0.0
7,"[[1, 13], [179, 21], [179, 27], [5, 18], [5, 27], [5, 71], [96, 12]]","[""NDTTT""]",9.95,2.807,night,11,0.226,116.32677,39.991819,1.988,"[0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0]","[""科教文化服务""]",科教文化服务,0.0
7,"[[1, 13], [179, 21], [179, 27], [5, 18], [5, 27], [5, 71], [96, 12]]","[""NDTTT""]",9.95,2.807,night,12,0.249,116.326345,39.992756,2.0,"[0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3]","[""科教文化服务""]",科教文化服务,0.0
4,"[[1, 67], [174, 51], [36, 31], [96, 6]]","[""NDTTJ"", ""NDTTT"", ""TTHS""]",0.39,0.0,night,3,0.022,116.320276,39.977953,3.17,"[0, 18, 6]","[""商务住宅"", ""科教文化服务""]",商务住宅,0.918
4,"[[179, 62], [19, 45], [78, 2], [96, 94]]","[""NDTTJ"", ""NDTTT""]",7.95,1.5,night,3,0.045,116.323784,39.984688,1.837,"[0, 20, 0]","[""科教文化服务""]",科教文化服务,0.0
4,"[[179, 62], [19, 45], [78, 2], [96, 94]]","[""NDTTJ"", ""NDTTT""]",7.95,1.5,night,4,0.068,116.320164,39.985811,2.0,"[0, 20, 0, 20]","[""科教文化服务""]",科教文化服务,0.0
