SN,SG,k
"[0, 1]","[[1, 1], [1, 41], [1, 48], [1, 59], [35, 1], [35, 2], [35, 5], [35, 9], [35, 13], [35, 14], [35, 15], [35, 16], [35, 18], [35, 23], [35, 24], [35, 30], [35, 31], [35, 35], [35, 38], [35, 42], [35, 44], [35, 51], [35, 62]]",2
"[1, 2]","[[1, 1], [1, 16], [1, 35], [1, 36], [1, 41], [1, 62], [1, 64], [1, 69]]",2
"[0, 1, 2]","[[1, 1], [1, 41]]",3
"[2, 3]","[[1, 2], [1, 13], [1, 14], [1, 22], [1, 25]]",2
"[3, 0]","[[1, 2], [1, 5], [1, 13], [1, 25], [5, 1], [5, 3], [5, 6], [5, 18], [5, 27], [5, 71], [12, 51], [35, 23], [35, 60], [96, 11], [96, 12], [96, 51], [96, 72], [96, 74], [96, 94], [96, 107], [179, 8], [179, 18], [179, 21], [179, 27], [179, 62]]",2
"[0, 4]","[[1, 2], [1, 9], [1, 13], [35, 8], [36, 14], [36, 44], [44, 72], [52, 47], [52, 71], [52, 93], [71, 57], [71, 71], [91, 19], [104, 115]]",2
"[4, 5]","[[1, 2]]",2
"[5, 163]","[[1, 2]]",2
"[163, 0]","[[1, 2], [1, 30], [1, 67]]",2
"[0, 6]","[[1, 2], [1, 30], [1, 51], [52, 25], [52, 90], [67, 55], [71, 9], [71, 30], [71, 34], [71, 35], [71, 38], [74, 1], [74, 12], [74, 22], [74, 29], [74, 45], [74, 68], [74, 69], [74, 71], [74, 80], [96, 66], [104, 14], [134, 15], [134, 44], [179, 29]]",2
"[2, 3, 0]","[[1, 2], [1, 13], [1, 25]]",3
"[3, 0, 4]","[[1, 2], [1, 13]]",3
"[0, 4, 5]","[[1, 2]]",3
"[4, 5, 163]","[[1, 2]]",3
"[5, 163, 0]","[[1, 2]]",3
"[163, 0, 6]","[[1, 2], [1, 30]]",3
"[2, 3, 0, 4]","[[1, 2], [1, 13]]",4
"[3, 0, 4, 5]","[[1, 2]]",4
"[0, 4, 5, 163]","[[1, 2]]",4
"[4, 5, 163, 0]","[[1, 2]]",4
"[5, 163, 0, 6]","[[1, 2]]",4
"[2, 3, 0, 4, 5]","[[1, 2]]",5
"[3, 0, 4, 5, 163]","[[1, 2]]",5
"[0, 4, 5, 163, 0]","[[1, 2]]",5
"[4, 5, 163, 0, 6]","[[1, 2]]",5
"[2, 3, 0, 4, 5, 163]","[[1, 2]]",6
"[3, 0, 4, 5, 163, 0]","[[1, 2]]",6
"[0, 4, 5, 163, 0, 6]","[[1, 2]]",6
"[2, 3, 0, 4, 5, 163, 0]","[[1, 2]]",7
"[3, 0, 4, 5, 163, 0, 6]","[[1, 2]]",7
"[2, 3, 0, 4, 5, 163, 0, 6]","[[1, 2]]",8
"[2, 1]","[[1, 3], [1, 4], [1, 5], [1, 16], [1, 19], [1, 26], [1, 27], [1, 28], [1, 31], [1, 35], [1, 36], [1, 39], [1, 45], [1, 59], [1, 62], [1, 63], [1, 64], [1, 65], [1, 67], [1, 69]]",2
"[1, 7]","[[1, 3]]",2
"[7, 8]","[[1, 3]]",2
"[8, 9]","[[1, 3], [38, 96]]",2
"[9, 8]","[[1, 3]]",2
"[8, 2]","[[1, 3], [1, 44]]",2
"[2, 1, 7]","[[1, 3]]",3
"[1, 7, 8]","[[1, 3]]",3
"[7, 8, 9]","[[1, 3]]",3
"[8, 9, 8]","[[1, 3]]",3
"[9, 8, 2]","[[1, 3]]",3
"[2, 1, 7, 8]","[[1, 3]]",4
"[1, 7, 8, 9]","[[1, 3]]",4
"[7, 8, 9, 8]","[[1, 3]]",4
"[8, 9, 8, 2]","[[1, 3]]",4
"[2, 1, 7, 8, 9]","[[1, 3]]",5
"[1, 7, 8, 9, 8]","[[1, 3]]",5
"[7, 8, 9, 8, 2]","[[1, 3]]",5
"[2, 1, 7, 8, 9, 8]","[[1, 3]]",6
"[1, 7, 8, 9, 8, 2]","[[1, 3]]",6
"[2, 1, 7, 8, 9, 8, 2]","[[1, 3]]",7
"[1, 10]","[[1, 4]]",2
"[10, 24]","[[1, 4], [1, 35]]",2
"[24, 10]","[[1, 4], [1, 35]]",2
"[10, 0]","[[1, 4], [44, 2]]",2
"[2, 1, 10]","[[1, 4]]",3
"[1, 10, 24]","[[1, 4]]",3
"[10, 24, 10]","[[1, 4], [1, 35]]",3
"[24, 10, 0]","[[1, 4]]",3
"[2, 1, 10, 24]","[[1, 4]]",4
"[1, 10, 24, 10]","[[1, 4]]",4
"[10, 24, 10, 0]","[[1, 4]]",4
"[2, 1, 10, 24, 10]","[[1, 4]]",5
"[1, 10, 24, 10, 0]","[[1, 4]]",5
"[2, 1, 10, 24, 10, 0]","[[1, 4]]",6
"[0, 11]","[[1, 5], [24, 60], [44, 12], [44, 39], [44, 63], [82, 21], [82, 44], [82, 57], [179, 11], [179, 18]]",2
"[11, 2]","[[1, 5]]",2
"[1, 3]","[[1, 5], [1, 7], [35, 60]]",2
"[0, 11, 2]","[[1, 5]]",3
"[11, 2, 1]","[[1, 5]]",3
"[2, 1, 3]","[[1, 5]]",3
"[1, 3, 0]","[[1, 5], [35, 60]]",3
"[0, 11, 2, 1]","[[1, 5]]",4
"[11, 2, 1, 3]","[[1, 5]]",4
"[2, 1, 3, 0]","[[1, 5]]",4
"[0, 11, 2, 1, 3]","[[1, 5]]",5
"[11, 2, 1, 3, 0]","[[1, 5]]",5
"[0, 11, 2, 1, 3, 0]","[[1, 5]]",6
"[0, 2]","[[1, 6], [1, 22], [1, 24], [1, 66], [1, 68]]",2
"[4, 12]","[[1, 9], [35, 23]]",2
"[12, 2]","[[1, 9], [1, 46]]",2
"[0, 4, 12]","[[1, 9]]",3
"[4, 12, 2]","[[1, 9]]",3
"[0, 4, 12, 2]","[[1, 9]]",4
"[0, 3]","[[1, 12], [1, 13], [1, 30], [1, 38], [1, 50], [1, 52], [5, 2], [5, 14], [5, 18], [5, 27], [5, 71], [5, 76], [35, 19], [35, 34], [35, 41], [35, 53], [96, 2], [96, 12], [96, 27], [96, 31], [96, 57], [96, 75], [179, 21], [179, 27]]",2
"[3, 2]","[[1, 12], [1, 13], [1, 52]]",2
"[0, 3, 2]","[[1, 12], [1, 13], [1, 52]]",3
"[4, 6]","[[1, 13], [1, 26], [24, 74], [38, 32], [82, 96], [104, 6], [104, 102], [174, 34], [174, 63]]",2
"[6, 0]","[[1, 13], [1, 26], [1, 30], [1, 67], [24, 6], [35, 13], [36, 31], [38, 24], [67, 42], [67, 50], [67, 85], [67, 96], [71, 4], [71, 6], [71, 8], [71, 13], [71, 22], [71, 31], [71, 41], [71, 42], [71, 60], [71, 62], [73, 9], [82, 96], [96, 6], [96, 66], [179, 29]]",2
"[0, 4, 6]","[[1, 13]]",3
"[4, 6, 0]","[[1, 13], [1, 26], [82, 96]]",3
"[6, 0, 3]","[[1, 13], [1, 30]]",3
"[3, 0, 4, 6]","[[1, 13]]",4
"[0, 4, 6, 0]","[[1, 13]]",4
"[4, 6, 0, 3]","[[1, 13]]",4
"[6, 0, 3, 2]","[[1, 13]]",4
"[2, 3, 0, 4, 6]","[[1, 13]]",5
"[3, 0, 4, 6, 0]","[[1, 13]]",5
"[0, 4, 6, 0, 3]","[[1, 13]]",5
"[4, 6, 0, 3, 2]","[[1, 13]]",5
"[2, 3, 0, 4, 6, 0]","[[1, 13]]",6
"[3, 0, 4, 6, 0, 3]","[[1, 13]]",6
"[0, 4, 6, 0, 3, 2]","[[1, 13]]",6
"[2, 3, 0, 4, 6, 0, 3]","[[1, 13]]",7
"[3, 0, 4, 6, 0, 3, 2]","[[1, 13]]",7
"[2, 3, 0, 4, 6, 0, 3, 2]","[[1, 13]]",8
"[3, 163]","[[1, 14]]",2
"[163, 4]","[[1, 14]]",2
"[4, 13]","[[1, 14]]",2
"[2, 3, 163]","[[1, 14]]",3
"[3, 163, 4]","[[1, 14]]",3
"[163, 4, 13]","[[1, 14]]",3
"[2, 3, 163, 4]","[[1, 14]]",4
"[3, 163, 4, 13]","[[1, 14]]",4
"[2, 3, 163, 4, 13]","[[1, 14]]",5
"[2, 10]","[[1, 15]]",2
"[10, 2]","[[1, 15]]",2
"[2, 0]","[[1, 15], [1, 17], [1, 21], [1, 30], [1, 47], [1, 49], [1, 60]]",2
"[0, 14]","[[1, 15], [12, 4], [35, 52], [67, 120]]",2
"[14, 0]","[[1, 15], [24, 85], [67, 120]]",2
"[2, 10, 2]","[[1, 15]]",3
"[10, 2, 0]","[[1, 15]]",3
"[2, 0, 14]","[[1, 15]]",3
"[0, 14, 0]","[[1, 15], [67, 120]]",3
"[2, 10, 2, 0]","[[1, 15]]",4
"[10, 2, 0, 14]","[[1, 15]]",4
"[2, 0, 14, 0]","[[1, 15]]",4
"[2, 10, 2, 0, 14]","[[1, 15]]",5
"[10, 2, 0, 14, 0]","[[1, 15]]",5
"[2, 10, 2, 0, 14, 0]","[[1, 15]]",6
"[2, 12]","[[1, 16], [1, 51], [1, 53], [1, 55]]",2
"[12, 15]","[[1, 16]]",2
"[15, 16]","[[1, 16]]",2
"[16, 19]","[[1, 16]]",2
"[19, 2]","[[1, 16], [1, 25]]",2
"[2, 1, 2]","[[1, 16], [1, 64]]",3
"[1, 2, 12]","[[1, 16]]",3
"[2, 12, 15]","[[1, 16]]",3
"[12, 15, 16]","[[1, 16]]",3
"[15, 16, 19]","[[1, 16]]",3
"[16, 19, 2]","[[1, 16]]",3
"[2, 1, 2, 12]","[[1, 16]]",4
"[1, 2, 12, 15]","[[1, 16]]",4
"[2, 12, 15, 16]","[[1, 16]]",4
"[12, 15, 16, 19]","[[1, 16]]",4
"[15, 16, 19, 2]","[[1, 16]]",4
"[2, 1, 2, 12, 15]","[[1, 16]]",5
"[1, 2, 12, 15, 16]","[[1, 16]]",5
"[2, 12, 15, 16, 19]","[[1, 16]]",5
"[12, 15, 16, 19, 2]","[[1, 16]]",5
"[2, 1, 2, 12, 15, 16]","[[1, 16]]",6
"[1, 2, 12, 15, 16, 19]","[[1, 16]]",6
"[2, 12, 15, 16, 19, 2]","[[1, 16]]",6
"[2, 1, 2, 12, 15, 16, 19]","[[1, 16]]",7
"[1, 2, 12, 15, 16, 19, 2]","[[1, 16]]",7
