uid,traj_id,start_time,end_time,node_sequence,time_sequence
1,1,10:47:54,11:49:08,"[0, 1, 2]","[""10:47:54"", ""11:02:56"", ""11:49:08""]"
1,2,23:41:04,06:23:43,"[2, 3, 0, 4, 5, 163, 0, 6]","[""23:41:04"", ""23:56:07"", ""00:11:10"", ""02:00:42"", ""03:33:15"", ""04:07:51"", ""05:28:05"", ""06:23:43""]"
1,3,23:44:05,11:29:59,"[2, 1, 7, 8, 9, 8, 2]","[""23:44:05"", ""23:59:07"", ""00:14:08"", ""00:29:18"", ""01:44:37"", ""11:10:01"", ""11:29:59""]"
1,4,23:14:28,03:21:37,"[2, 1, 10, 24, 10, 0]","[""23:14:28"", ""23:40:05"", ""00:10:06"", ""02:36:37"", ""03:06:37"", ""03:21:37""]"
1,5,08:12:29,00:32:06,"[0, 11, 2, 1, 3, 0]","[""08:12:29"", ""08:42:31"", ""10:11:36"", ""00:02:02"", ""00:17:04"", ""00:32:06""]"
1,6,11:16:34,12:29:20,"[0, 2]","[""11:16:34"", ""12:29:20""]"
1,7,23:30:29,23:45:29,"[1, 3]","[""23:30:29"", ""23:45:29""]"
1,9,10:50:10,15:00:03,"[0, 4, 12, 2]","[""10:50:10"", ""11:05:14"", ""13:36:27"", ""15:00:03""]"
1,12,11:05:29,11:35:33,"[0, 3, 2]","[""11:05:29"", ""11:20:30"", ""11:35:33""]"
1,13,23:41:23,13:58:49,"[2, 3, 0, 4, 6, 0, 3, 2]","[""23:41:23"", ""23:56:26"", ""00:11:30"", ""05:50:44"", ""06:38:00"", ""13:14:29"", ""13:32:14"", ""13:58:49""]"
1,14,23:39:59,07:00:04,"[2, 3, 163, 4, 13]","[""23:39:59"", ""23:55:00"", ""00:10:04"", ""06:14:58"", ""07:00:04""]"
1,15,00:42:35,08:00:54,"[2, 10, 2, 0, 14, 0]","[""00:42:35"", ""01:14:37"", ""04:43:41"", ""05:58:48"", ""06:13:48"", ""08:00:54""]"
1,16,03:08:34,14:10:12,"[2, 1, 2, 12, 15, 16, 19, 2]","[""03:08:34"", ""03:25:52"", ""04:19:07"", ""09:59:36"", ""12:05:32"", ""12:20:32"", ""12:50:33"", ""14:10:12""]"
1,17,23:34:52,00:40:31,"[2, 0]","[""23:34:52"", ""00:40:31""]"
1,18,13:32:04,14:05:24,"[0, 217, 2]","[""13:32:04"", ""13:47:06"", ""14:05:24""]"
1,19,23:37:29,00:22:34,"[2, 1, 12, 0]","[""23:37:29"", ""23:52:31"", ""00:07:32"", ""00:22:34""]"
1,20,06:04:02,14:31:48,"[6, 5, 0, 17, 12]","[""06:04:02"", ""06:40:45"", ""06:55:49"", ""14:16:45"", ""14:31:48""]"
1,21,23:44:36,00:30:05,"[2, 0]","[""23:44:36"", ""00:30:05""]"
1,22,11:00:52,23:56:33,"[0, 2, 3]","[""11:00:52"", ""12:36:59"", ""23:56:33""]"
1,23,05:14:23,05:29:26,"[6, 18]","[""05:14:23"", ""05:29:26""]"
1,24,13:36:04,14:06:09,"[0, 2]","[""13:36:04"", ""14:06:09""]"
1,25,23:34:04,17:01:45,"[2, 3, 0, 19, 2]","[""23:34:04"", ""23:49:08"", ""00:04:08"", ""16:31:37"", ""17:01:45""]"
1,26,03:43:58,11:17:54,"[2, 1, 20, 4, 6, 0]","[""03:43:58"", ""04:16:26"", ""04:31:27"", ""04:46:30"", ""07:03:23"", ""11:17:54""]"
1,27,03:33:35,09:13:30,"[2, 1, 4, 21, 20]","[""03:33:35"", ""04:03:51"", ""04:18:51"", ""08:58:28"", ""09:13:30""]"
1,28,23:35:34,00:08:00,"[2, 1, 0]","[""23:35:34"", ""23:53:00"", ""00:08:00""]"
1,30,23:42:35,12:58:35,"[2, 0, 163, 0, 6, 0, 3]","[""23:42:35"", ""00:12:38"", ""00:27:38"", ""06:01:29"", ""06:17:06"", ""12:43:35"", ""12:58:35""]"
1,31,23:45:04,00:22:38,"[2, 1, 0]","[""23:45:04"", ""00:07:38"", ""00:22:38""]"
1,32,12:13:34,13:46:58,"[0, 22, 2]","[""12:13:34"", ""12:28:35"", ""13:46:58""]"
1,33,00:00:59,00:16:01,"[217, 0]","[""00:00:59"", ""00:16:01""]"
1,34,13:07:23,14:20:00,"[0, 123]","[""13:07:23"", ""14:20:00""]"
1,35,00:35:35,10:19:40,"[2, 1, 23, 0, 10, 24, 10, 1, 2]","[""00:35:35"", ""00:54:57"", ""01:09:57"", ""01:24:58"", ""05:20:49"", ""07:28:03"", ""09:13:07"", ""09:45:35"", ""10:19:40""]"
1,36,02:44:29,09:51:42,"[2, 1, 23, 26, 25, 26, 8, 1, 2]","[""02:44:29"", ""03:20:56"", ""03:35:57"", ""03:50:57"", ""04:06:00"", ""06:14:45"", ""06:29:45"", ""06:44:49"", ""09:51:42""]"
1,37,00:08:23,00:41:36,"[1, 0]","[""00:08:23"", ""00:41:36""]"
1,38,04:24:54,14:16:57,"[0, 3, 217, 19, 7, 2]","[""04:24:54"", ""13:15:53"", ""13:30:55"", ""13:46:53"", ""14:01:55"", ""14:16:57""]"
